File,RNR,Role,GeneticNK,FosterNK,CaptureDate,Treatment,Pair,Library,Mol_sex,Age,Category
BD_83195_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83195,Chick,WH.0049.0,WH.0075.0,2018-05-19,Control,49_75,B3,Female,Nestling,Nest A Cross-fostered
BD_83199_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83199,Chick,WH.0075.0,WH.0075.0,2018-05-19,Control,49_75,B3,Female,Nestling,Nest B Stayed
BD_83042_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83042,Chick,WH.0051.0,WH.0051.0,2018-05-17,Control,51_87,B3,Female,Nestling,Nest A Stayed
BD_83043_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83043,Chick,WH.0051.0,WH.0051.0,2018-05-17,Control,51_87,B3,Male,Nestling,Nest A Stayed
BD_83144_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83144,Chick,WH.0051.0,WH.0051.0,2018-05-17,Control,51_87,B3,Male,Nestling,Nest A Stayed
BD_83041_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83041,Chick,WH.0087.0,WH.0051.0,2018-05-17,Control,51_87,B3,Male,Nestling,Nest B Cross-fostered
BD_83045_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83045,Chick,WH.0087.0,WH.0051.0,2018-05-17,Control,51_87,B3,Female,Nestling,Nest B Cross-fostered
BD_83101_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83101,Chick,WH.0087.0,WH.0051.0,2018-05-17,Control,51_87,B3,Female,Nestling,Nest B Cross-fostered
BD_83175_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83175,Chick,WH.0051.0,WH.0087.0,2018-05-18,Control,51_87,B3,Female,Nestling,Nest A Cross-fostered
BD_83176_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83176,Chick,WH.0051.0,WH.0087.0,2018-05-18,Control,51_87,B3,Female,Nestling,Nest A Cross-fostered
BD_83178_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83178,Chick,WH.0051.0,WH.0087.0,2018-05-18,Control,51_87,B3,Female,Nestling,Nest A Cross-fostered
BD_83172_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83172,Chick,WH.0087.0,WH.0087.0,2018-05-18,Control,51_87,B3,Male,Nestling,Nest B Stayed
BD_83177_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83177,Chick,WH.0087.0,WH.0087.0,2018-05-18,Control,51_87,B3,Male,Nestling,Nest B Stayed
BD_83179_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_83179,Chick,WH.0087.0,WH.0087.0,2018-05-18,Control,51_87,B3,Female,Nestling,Nest B Stayed
BD_30725_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30725,Chick,BL.0322.0,BL.0322.0,2018-05-20,Reduced,129_322,B4,Male,Nestling,Nest A Stayed
BD_30726_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30726,Chick,BL.0322.0,BL.0322.0,2018-05-20,Reduced,129_322,B4,Female,Nestling,Nest A Stayed
BD_30727_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30727,Chick,BL.0322.0,BL.0322.0,2018-05-20,Reduced,129_322,B4,Male,Nestling,Nest A Stayed
BD_30724_trimmed_filt_merged.1_bismark_bt2_pe.CpG_report.txt,BD_30724,Chick,WH.0129.0,BL.0322.0,2018-05-20,Reduced,129_322,B4,Female,Nestling,Nest B Cross-fostered
